Date (MM/DD/YYYY),Time (HH:MM),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code)
01/01/1998,01:00,5.7,E,9,-7.3,E,9,36,A,7,957,E,9,360,E,9,3.4,E,9
01/01/1998,02:00,5.8,E,9,-8.2,E,9,33,A,7,957,E,9,360,E,9,2.3,E,9
01/01/1998,03:00,5.9,E,9,-9.1,E,9,30,A,7,957,E,9,340,E,9,3.2,E,9
01/01/1998,04:00,7.0,E,9,-10.0,E,9,26,A,7,957,E,9,310,E,9,2.6,E,9
01/01/1998,05:00,5.0,E,9,-11.0,E,9,27,A,7,958,E,9,330,E,9,1.5,E,9
01/01/1998,06:00,6.0,E,9,-10.0,E,9,28,A,7,959,E,9,330,E,9,4.1,E,9
01/01/1998,07:00,6.0,E,9,-10.0,E,9,28,A,7,959,E,9,290,E,9,3.1,E,9
01/01/1998,08:00,5.0,E,9,-10.0,E,9,30,A,7,960,E,9,320,E,9,3.1,E,9
01/01/1998,09:00,7.0,E,9,-9.0,E,9,28,A,7,960,E,9,340,E,9,3.1,E,9
01/01/1998,10:00,8.0,E,9,-9.0,E,9,26,A,7,960,E,9,10,E,9,1.5,E,9
01/01/1998,11:00,10.0,E,9,-9.0,E,9,23,A,7,960,E,9,340,E,9,1.5,E,9
01/01/1998,12:00,14.0,E,9,-8.0,E,9,19,A,7,960,E,9,300,E,9,1.5,E,9
01/01/1998,13:00,18.0,E,9,-7.0,E,9,16,A,7,960,E,9,0,E,9,0.0,E,9
01/01/1998,14:00,18.0,E,9,-7.0,E,9,16,A,7,960,E,9,0,E,9,0.0,E,9
01/01/1998,15:00,18.0,E,9,-6.0,E,9,18,A,7,960,E,9,0,E,9,0.0,E,9
01/01/1998,16:00,18.0,E,9,-7.0,E,9,16,A,7,960,E,9,260,E,9,1.5,E,9
01/01/1998,17:00,17.0,E,9,-8.0,E,9,16,A,7,961,E,9,0,E,9,0.0,E,9
